,label,A1BG,ABCC6P1,ACCSL,ACTL8,AFMID,AKR1C3,ALDH1A1,ALOX15,AMBN,ANKRD37,ANXA1,APOA1,APOA2,APOC3,APOE,ARGFX,ARL4D,AURKC,B2M,B3GNT2,BAG4,BAMBI,BCAR4,BCL2L10,BECN1P1,BIK,BMP15,BMP2,BMP6,BOD1,BTG4,BUB1,BUB1B,C11orf40,C1orf64,C3orf56,C6orf52,C8orf12,CA4,CALB2,CASC11,CASC5,CCDC147,CCDC27,CCNA1,CCNO,CCR7,CCR8,CD48,CDKN1A,CDKN1C,CDKN2AIP,CDR1,CFD,CGA,CGB,CGB5,CGB8,CHAC1,CHGA,CHMP4B,CIART,CLDN10,CLEC4E,CNNM2,COL4A1,COX4I2,CRABP1,CSAG1,CST1,CTGF,CTRB2,CTSE,CUL2,CXorf67,CYP19A1,CYP1A1,CYP1B1,CYP26A1,CYR61,DBR1,DCDC2,DDIT3,DDIT4,DEFB1,DEFB124,DEGS2,DERL3,DHRS3,DLEU7,DNAJB1,DNMT1,DPPA5,DPRX,DUXA,EBLN1,EID3,EIF4E1B,ELANE,ENG,EPN2-IT1,EPS8L1,ERVFRD-1,ETNPPL,EXOC3L2,FABP7,FAM13A,FAM151A,FAM162B,FAM19A4,FAM220A,FAM46C,FAM64A,FBP1,FBXO22-AS1,FBXO5,FBXW12,FGF14,FIGLA,FLJ20518.uid_5146,FNDC4,FOLR4,FOS,FOXD3-AS1,FOXR1,FRZB,FUT3,GABRR3,GADD45B,GAGE12J,GAGE2A.uid_12821,GAGE2B,GAST,GCM1,GCNT3,GDF15,GDF3,GDF9,GIP,GJA5,GNRH2,GPHA2,GPHB5,GPR143,GPX2,GSC,GTF2A1L,GUCA2A,GYPC,H19,H1FOO,HABP2,HAND1,HAS2,HBZ,HDC,HERC6,HHLA2,HIPK3,HIST1H1A,HIST1H2AA,HIST1H2AC,HIST1H2AH,HIST1H2AI,HIST1H2AL,HIST1H2AM,HIST1H2BB,HIST1H2BC,HIST1H2BD,HIST1H2BG,HIST1H2BH,HIST1H2BJ,HIST1H2BK,HIST1H3A,HIST1H3C,HIST1H3G,HIST1H3J,HIST1H4B,HIST1H4F,HIST1H4H,HIST2H2BE,HIST3H2A,HIST3H3,HNRNPCL1,HNRNPCL2,HOPX,HOXA7,HSD3B1,HSF2BP,HSPA1A,HSPA1B,HSPA1L,HSPA6,HSPB1,HSPB8,HYLS1,ID2,ID3,IER3,IFI16,IFI6,IFITM1,IFITM3,IGFBP3,IL17B,KCNK9,KHDC1,KHDC3L,KLF17,KLK11,KPNA7,KRT23,KRT7,LARP6,LBH,LEFTY1,LEFTY2,LEUTX,LGALS1,LGALS16,LGALS2,LGALS3,LGALS3BP,LINC00324,LINC00458,LINC00948,LINC01118,LOC100506790,LOC100507420.uid_10773,LOC100996324,LOC101927258,LOC101928559,LOC101928736,LOC101928769,LOC101929524,LOC256880,LOC283299,LOC649330,LRRTM4,LYPD2,MAD2L1BP,MAGEA12,MAGEA4,MAP3K7CL,MBD3L2,MBD3L3,MBD3L5,MEG3,MFSD2A,MIER1,MIR1248,MIR205HG,MIR27B,MIR30A,MIR3648,MIR3651,MIR367,MIR371A,MIR371B,MIR374B,MIR4427,MIR4472-2,MIR5087,MIR614,MIR6516,MIR663A,MIR6775,MIR6777,MIR7703,MIR8079,MIRLET7I,MIXL1,MLF1,MLN,MMP2,MPC1L,MRGPRX1,MROH1,MSH5.uid_7872,MSRA,MT1B,MT1E,MT1F,MT1G,MT1H,MT1HL1,MT1X,MT2A,MTRNR2L1,MUC15,MYL4,NANOGNB,NEFM,NLRP11,NLRP13,NLRP4,NLRP5,NLRP9,NMU,NODAL,NOVA1,NPM2,NPPB,NRGN,NSG1,NUPR1,OLFML3,OOEP,OOSP2,OTX2,OXT,P2RX5,PABPN1L,PADI6,PAGE4,PAGE5,PARL,PATL2,PCP4L1,PDCD4,PDE8B,PDGFRA,PDLIM2,PDPN,PGC,PGF,PIM2,PITX2,PLAU,PLEK2,PMAIP1,PPAP2C,PPIAP30,PPP1R14A,PRAMEF1,PRAMEF11,PRAMEF12,PRAMEF2,PRAMEF4,PRAMEF6.uid_854,PRPH,PRR15,PRR9,PRSS3,PSORS1C2,PTTG1,PTTG2,PTTG3P,PYCARD,RARRES2,RBP7,REC114,RFPL1,RFPL2,RFPL4A,RFPL4AL1,RFPL4B,RGS13,RGS2,RHEBL1,RHOXF1,RIIAD1,RMRP,RNASE1,RNASEK.uid_21279,RND1,RNF11,RNF122,RNF168,RNU11,RNU12,RNU4ATAC,RNVU1-19.uid_1705,RNVU1-8,RPL10L,RPPH1,RPS7P5,RSPO3,RSRP1,S100P,SAA1,SAT1,SCARNA2,SCARNA22,SCARNA5,SDC1,SELM,SERPINB9,SERPINF1,SERPINH1,SERTAD1,SERTAD3,SIAH1,SLC16A6,SLC34A2,SLC3A1,SLC40A1,SLC6A5,SLC6A8,SLC7A6OS,SMPDL3B,SNAPC2,SNAR-D,SNAR-F,SNAR-G1,SNAR-H,SNAR-I,SNORA12,SNORA23,SNORA2B,SNORA44,SNORA46,SNORA48,SNORA51,SNORA74B,SNORA80E,SNORD114-13,SNORD114-3,SNORD124,SNORD35A,SNORD43,SNORD46,SNORD50A,SNORD83A,SOX15,SOX17,SPATA25,SPDYC,SPINK7,SPP1,SQRDL,SSTR5-AS1,STMN2,SVOPL,TAAR5,TCL1A,TCL1B,TDGF1,TDH,TEX19,TEX37,TFF1,TKTL1,TLE6,TMEM160,TNNI3,TOPORS,TPRX1,TPRXL,TREM1,TRH,TRIM77,TUBA3E,TUBA4A,TUBA4B,TUBB8,TUBBP5,UBXN11,UCHL1,UNC13C,USP2,UTF1,VENTX,VGLL1,VMO1,VTRNA1-1,VTRNA1-3,WDR47,WEE2,WFDC2,XAGE3,YPEL5,ZAR1L,ZC2HC1B,ZFR2,ZIM3,ZMAT5,ZNF280A,ZNF280B,ZNF302,ZNF394,ZNF597,ZNF679,ZNF735P,ZP1,ZP2,ZP3,ZP4,ZSCAN4,ZSCAN5B
E5.5.101,5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,41,5,10,40,2,1,0,0,0,0,0,0,0,13,0,555,490,0,0,0,4,0,0,0,0,2286,0,0,7,0,0,1,0,0,0,6,0,14,0,0,0,0,0,0,442,0,487,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,5,0,10,0,0,16,0,0,0,0,35,0,64,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,0,0,0,0,19,0,0,0,0,0,0,37,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,21,0,0,9,0,1,0,0,1,0,0,0,17,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,20,20,23,0,0,0,0,180,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,51,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,2,45,0,13,0,0,7,0,0,0,2,5,0,14,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,34,0,0,590,0,0,0,25,0,0,3,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,21,0,9,1,0,5,0,0,0,0,0,0,6,12,0,0,0,8,16,2,0,14,0,15,0,0,1,2,0,5,0,0,0,43,52,0,7,0,0,0,0,0,4,0,0,2,21,4,1,66,0,12,0,63,8,0,13,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2,14,0,0,0,0,0,0,24,0,19,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,6,0,2,37,0,0,0,7,0,0,0,0,7,0,0,2,19,0,0,0,0,0,0,0,0,0
E5.5.100,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,56,1,0,47,8,0,3,0,0,0,0,0,0,15,0,328,545,0,0,0,0,0,0,0,0,7887,0,0,0,1,0,0,0,0,0,5,27,0,0,0,0,0,0,0,363,0,685,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,13,11,0,0,0,0,1,3,0,37,50,9,0,0,0,2,0,0,0,0,1,0,0,0,10,0,74,0,0,9,0,0,0,0,51,0,0,0,0,0,0,1,0,51,0,0,0,21,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,7,3,0,0,2,0,0,2,0,0,0,0,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,29,22,1,3,0,0,0,0,89,0,0,0,9,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,22,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,19,2,0,30,4,16,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,41,0,0,0,0,2,30,0,0,617,0,0,0,26,0,0,7,0,0,9,0,0,0,101,0,0,0,0,0,0,0,4,0,0,0,64,1,7,0,0,0,0,0,0,0,0,4,81,22,0,0,0,2,41,0,0,9,0,21,0,0,2,0,0,0,0,0,0,14,48,0,0,0,0,2,0,0,27,5,1,0,27,6,0,447,0,26,0,27,10,0,20,0,0,20,1,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,4,1,11,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,2,0,0,25,0,0,0,40,0,0,1,15,0,0,0,0,1,0,1,5,1,2,0,0,0,0,1,0,0,0
E6.2.114,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,1,0,0,72,31,2,0,0,0,0,0,0,0,8,0,288,1114,0,0,0,0,0,0,1,0,14038,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,32,0,549,0,10,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,4,0,0,59,0,0,0,3,1,0,74,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,118,0,0,3,0,0,1,0,1,0,17,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,0,0,1,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,1,29,0,0,0,0,0,3,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,149,0,0,0,0,0,0,0,0,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,2748,0,0,0,1,0,25,0,0,0,45,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,1,3,0,0,1,0,0,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,16,0,20,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
E6.2.104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,12,0,2,0,0,0,0,0,0,0,1,0,24,21,0,0,0,0,0,0,0,0,97,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,18,1,7,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,2,0,0,21,0,0,0,0,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,12,0,0,4,0,0,4,0,1,0,1,1,0,1,3,1,2,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,0,0,3,10,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,38,0,0,1,0,0,15,2,1,0,8,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,2,0,0,0,10,0,0,0,0,0,0,0,0,0,18,19,0,1,0,0,0,0,0,0,0,0,3,13,1,0,7,0,2,0,30,3,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0
E6.2.107,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19,15,0,0,0,0,0,0,0,0,9,0,44,172,0,0,0,0,0,0,0,0,2501,0,0,0,0,0,0,0,0,0,33,9,0,0,0,0,0,0,0,74,0,13,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21,31,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,14,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,368,0,0,24,0,0,35,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,3,0,0,0,21,0,27,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,107,0,0,1,9,11,0,1,0,0,0,30,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6.2.116,6,16,0,0,0,73,0,0,0,0,0,8,0,0,0,45,0,124,0,0,439,143,0,3,0,0,0,0,0,0,21,0,304,379,0,0,0,0,0,0,0,0,2027,0,0,18,0,4,0,0,0,11,21,18,49,69,0,0,0,135,0,97,0,227,0,0,0,0,0,0,0,0,0,0,168,0,29,1,0,103,0,68,2,2,322,0,0,0,0,0,0,406,85,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,391,0,0,0,0,0,0,36,0,52,0,0,0,0,3,0,0,0,15,0,49,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,47,144,0,0,186,0,15,43,0,1,0,14,41,0,16,3,4,0,15,0,0,0,3,32,0,0,0,0,0,0,3,0,8,0,0,0,6,139,2,0,14,0,0,41,57,0,0,0,62,0,0,0,0,2,1,22,0,0,0,0,21,2,0,45,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,172,0,0,0,0,0,0,0,0,98,0,8,0,0,3,0,0,0,1,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,201,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,4,0,0,0,0,32,0,0,0,4,16,93,0,0,492,0,0,4,0,0,35,195,0,0,16,0,0,0,246,0,0,0,0,0,0,0,0,1,0,0,268,4,30,0,0,0,0,0,0,0,0,0,32,32,0,0,0,2,0,3,0,20,0,47,0,0,0,0,0,0,6,0,0,172,89,0,27,0,1,0,15,9,29,0,36,35,101,17,0,447,0,4,0,169,52,1,27,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,21,8,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,206,0,46,0,0,0,0,0,0,1,1,0,0,38,21,0,0,0,0,456,0,0,1,135,0,0,10,79,0,0,0,0,51,0,0,44,88,0,0,0,0,0,0,0,0,0
E7.2.138,7,0,0,0,0,698,0,0,0,0,0,34,0,0,0,0,0,1027,1248,0,0,177,0,2,0,0,612,0,0,0,137,0,392,346,0,0,0,0,0,0,0,0,276,0,0,0,0,302,0,0,0,4394,102,0,0,481,0,0,0,0,0,0,0,0,0,925,0,0,0,144,0,0,0,0,329,0,2,0,0,0,0,87,0,0,617,0,0,0,0,0,0,1605,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,206,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2216,0,0,0,139,0,1,0,0,0,0,779,0,0,0,0,8047,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,228,1122,1,0,11,591,0,411,2944,0,0,0,968,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,0,0,0,0,0,0,0,0,532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1,0,0,0,0,0,0,0,0,0,0,64,219,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,565,0,0,0,1,0,0,0,0,6827,0,0,0,545,0,0,0,1495,0,0,0,0,0,0,0,0,0,0,0,1610,23,197,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,384,1,0,0,0,17,0,0,1,0,0,0,0,1519,137,0,0,66,0,0,0,1005,0,0,307,815,535,0,0,0,0,0,118,0,0,0,0,0,2,2,4,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,456,0,0,1090,0,100,0,0,0,0,0,0,1,0,0,0,0,653,0,0,0,0,906,0,1,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6.2.118,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,105,0,49,0,0,159,108,17,0,0,0,9,0,0,0,47,0,196,501,0,0,0,0,0,0,0,0,4268,0,0,0,0,0,0,0,0,0,30,51,0,0,0,0,0,0,0,248,0,25,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,138,0,0,0,0,1,0,218,119,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,156,0,0,153,0,1,0,0,1,31,6,0,0,6,0,1,1,0,1,24,0,6,0,0,0,0,0,0,0,0,16,40,0,0,7,0,4,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,2,64,1,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139,0,0,18,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,124,0,0,1437,0,1,0,0,0,72,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,26,0,74,0,0,3,0,0,0,0,0,1,53,55,0,1,31,0,0,0,23,0,0,0,2,3,12,0,2,0,0,0,110,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,0,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,203,0,35,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,278,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E6.2.105,6,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,136,0,0,182,49,0,48,0,0,0,0,0,0,65,0,259,304,0,0,0,1,0,0,40,0,4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,36,0,0,0,0,0,0,0,118,0,0,67,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,387,108,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,68,0,153,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,339,101,20,74,1,0,67,2,0,0,0,0,0,45,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,204,0,54,0,0,0,0,53,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,159,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,233,0,0,882,0,0,0,0,0,0,128,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,346,6,58,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,194,0,315,0,0,0,0,0,0,0,0,0,0,47,0,112,0,0,0,0,57,0,0,0,5,137,12,0,0,0,115,0,111,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,82,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,883,0,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,592,0,0,0,48,0,0,58,0,0,0,0,0,80,0,0,0,54,0,0,0,0,0,0,0,0,0
E7.2.144,7,0,0,0,0,24,0,1,0,0,0,0,0,0,1,105,0,46,0,0,60,27,0,0,0,0,1,0,0,0,240,0,194,169,0,0,0,0,11,0,0,0,107,0,0,0,0,374,0,0,0,2,0,0,50,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,21,0,0,74,0,2,10,0,0,0,11,0,59,668,0,0,0,0,0,0,506,221,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,23,0,0,2,0,0,0,0,108,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,64,0,0,0,16,71,6,0,0,0,0,0,0,0,0,0,862,0,0,186,0,0,0,0,0,92,0,1,0,7,0,0,1,0,0,0,0,0,1,23,0,3,0,0,0,0,0,0,1,0,0,0,0,0,350,0,18,24,0,0,0,76,126,0,118,2,0,23,10,1148,0,0,0,7,0,0,0,0,0,0,41,0,0,0,0,268,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,9,0,363,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,40,0,0,0,0,20,0,0,17,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,1,1,73,20,0,0,0,58,0,0,0,0,0,0,0,0,172,0,0,67,1,0,0,0,0,17,1,0,0,166,0,0,0,67,0,0,2,0,0,0,0,0,1,0,0,511,3,32,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,400,20,0,15,3,69,0,0,43,0,0,1,0,0,0,49,3645,0,0,0,0,0,0,142,357,0,0,176,26,16,0,66,0,0,0,0,0,0,1,0,1,6,16,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,56,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,97,0,0,209,0,66,1,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,656,0,0,0,89,0,0,61,16,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
